colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/Shan/7/97_F12/02	B/Brisbane/32/2002	B/Shandong/7/1997	B/Brisbane/32/2002	1997	2002	160	MRC2009FebVic
B/Shan/7/97_F12/02	B/Brisbane/32/2002	B/Shandong/7/1997	B/Brisbane/32/2002	1997	2002	20	MRC2009SepVic
B/Shandong/7/1997	B/Tehran/80/2002	B/Shandong/7/1997	B/Tehran/80/2002	1997	2002	320	Puzelli2004
B/Shandong/7/1997	B/Milano/5/2002	B/Shandong/7/1997	B/Milano/5/2002	1997	2002	80	Puzelli2004
B/Shandong/7/1997	B/Parma/28/2002	B/Shandong/7/1997	B/Parma/28/2002	1997	2002	80	Puzelli2004
B/Shandong/7/1997	B/Genova/2/2002	B/Shandong/7/1997	B/Genova/2/2002	1997	2002	40	Puzelli2004
B/Shandong/7/1997	B/Trieste/28/2002	B/Shandong/7/1997	B/Trieste/28/2002	1997	2002	80	Puzelli2004
B/Beijing/243/1997	B/HongKong/1351/2002	B/Beijing/243/1997	B/HongKong/1351/2002	1997	2002	160	Shaw2002
B/Beijing/243/1997	B/NewYork/1/2002	B/Beijing/243/1997	B/NewYork/1/2002	1997	2002	80	Shaw2002
B/Shan/7/97	B/Trieste/1/2003	B/Shandong/7/1997	B/Trieste/1/2003	1997	2003	160	MRC2003
B/Shan/7/97	B/Roma/3/2003	B/Shandong/7/1997	B/Roma/3/2003	1997	2003	640	MRC2003
B/Shan/7/97	B/Barcelona/215/2003	B/Shandong/7/1997	B/Barcelona/215/2003	1997	2003	640	MRC2003
B/Shan/7/97	B/Lipetsk/17/2003	B/Shandong/7/1997	B/Lipetsk/17/2003	1997	2003	640	MRC2003
B/Shan/7/97	B/Geneva/5079/2003	B/Shandong/7/1997	B/Geneva/5079/2003	1997	2003	320	MRC2003
B/Shan/7/97	B/Cheju/303/2003	B/Shandong/7/1997	B/Cheju/303/2003	1997	2003	80	MRC2004
B/Shandong/7/1997	B/Parma/1/2003	B/Shandong/7/1997	B/Parma/1/2003	1997	2003	80	Puzelli2004
B/Shandong/7/1997	B/Roma/1/2003	B/Shandong/7/1997	B/Roma/1/2003	1997	2003	160	Puzelli2004
B/Shandong/7/1997	B/Roma/2/2003	B/Shandong/7/1997	B/Roma/2/2003	1997	2003	160	Puzelli2004
B/Shandong/7/1997	B/Roma/3/2003	B/Shandong/7/1997	B/Roma/3/2003	1997	2003	320	Puzelli2004
B/Shan/7/97	B/Hawaii/13/2004	B/Shandong/7/1997	B/Hawaii/13/2004	1997	2004	160	MRC2005Feb3
B/Shan/7/97	B/Phitsanulok/2053/2004	B/Shandong/7/1997	B/Phitsanulok/2053/2004	1997	2004	160	MRC2005Feb5
B/Shan/7/97	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	160	MRC2006MarVic
B/Shan/7/97	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	160	MRC2006SepVic
B/Shan/7/97	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	160	MRC2006SepVic2
B/Shan/7/97	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	160	MRC2007MarVic
B/Shan7/97	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	320	MRC2007SepVic
B/Shan/7/97_F12/02	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	320	MRC2008MarVic
B/Shan/7/97_F12/02	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	160	MRC2008SepVic
B/Shan/7/97_F12/02	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	160	MRC2009FebVic
B/Shan/7/97_F12/02	B/Malaysia/2506/2004	B/Shandong/7/1997	B/Malaysia/2506/2004	1997	2004	80	MRC2009SepVic
B/Shandong/7/1997	B/Parma/2/2004	B/Shandong/7/1997	B/Parma/2/2004	1997	2004	80	Puzelli2004
B/Shandong/7/1997	B/Parma/3/2004	B/Shandong/7/1997	B/Parma/3/2004	1997	2004	80	Puzelli2004
B/Shan/7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	80	MRC2005Sep1
B/Shan/7/97	B/Khabarovsk/14/2005	B/Shandong/7/1997	B/Khabarovsk/14/2005	1997	2005	160	MRC2005Sep1
B/Shan/7/97	B/Lisbon/32/2005	B/Shandong/7/1997	B/Lisbon/32/2005	1997	2005	160	MRC2005Sep1
B/Shan/7/97	B/Romania/700/2005	B/Shandong/7/1997	B/Romania/700/2005	1997	2005	80	MRC2005Sep1
B/Shan/7/97	B/Turkey/389/2005	B/Shandong/7/1997	B/Turkey/389/2005	1997	2005	80	MRC2005Sep1
B/Shan/7/97	B/HongKong/45/2005	B/Shandong/7/1997	B/HongKong/45/2005	1997	2005	160	MRC2005Sep2
B/Shan/7/97	B/Illinois/13/2005	B/Shandong/7/1997	B/Illinois/13/2005	1997	2005	160	MRC2005Sep2
